DNI;NOMBRE;APELLIDO;MAIL;TELEFONO
1122233K;Charles;Leclerc;charles.leclerc@gmail.com;666555222
3336695P;Lewis;Hamilton;lewis.hamilton@gmail.com;666333222
7788885I;Fernando;Alonso;fernando.alonso@gmail.com;666999555
7777784L;George;Russell;george.russell@gmail.com;685695675
9999652L;Yuki;Tsunoda;yuki.tsunoda@gmail.com;632654651
4141235N;Lando;Norris;lando.norris@gmail.com;645456258
4648817S;Guillermo;Diaz;g.diaz@gmail.com;678945121
9874561G;Unai ;Aira;aira.unai@gmail.com;754874514
3214887D;Borja;Ocerin;borja.ocerin@gmail.com;612354789
1452637R;Inigo;Valdi;valdi.inigo@gmail.com;748484984
3471958C;Jon;Olivera;oli.jonan@gmai.com;658475757
6145489P;Eneko;Miguel;ene.miguel@gmai.com;647841177
9456165B;Alejandro;Elvira;ale.elvi@gmai.com;614548184
9845919Q;Ignacio;Hernandez;hernandez.i@gmai.com;741694414
2651651F;Inaki;Prieto;p.inaki@gmai.com;651915644
3214164M;Iker;Gonzalez;gonzalez.iker@gmai.com;746515641
7484118P;Unai ;Basterretxea;baster.unai@gmai.com;747849419
6515448S;Alvaro;Gonzalez;a.gonzalez@gmai.com;619419548
7495198L;Asier;Perez;perez.asier@gmai.com;619745187
