DNI;NOMBRE;APELLIDO;MAIL;TELEFONO;STATUS
1111111P;Pedro;Martinez;pedro.martinez@gmail.com;666555222;Empleado
2222222L;Jose;Perez;jose.perez@gmail.com;666333222;Empleado
3333333G;Jon;Garcia;jon.garcia@gmail.com;666999555;Jefe
4444444P;Juan;Alonso;juan.alonso@gmail.com;685695675;Empleado
5555555K;Pedro;Sainz;pedro.sainz@gmail.com;632654651;Empleado
6958149N;Unai;Aira;unai.aira@gmail.com;611198149;Empleado
9489484A;Borja;Ocerin;ocerin.borja@gmail.com;641519887;Jefe
5949829T;Rosi;Perez;perez.rosi@gmail.com;606514651;Empleado
9416519H;Maria;Hernandez;maria.hernandez@gmail.com;754849841;Empleado
7814798N;Elena;Garcia;garcia.elena@gmail.com;616515847;Empleado
3489417Q;Patricia;Lopez;patricia.lopez@gmail.com;749841949;Empleado
9451361B;Mila;Maestro;maestro.mila@gmail.com;748974551;Empleado
1645198W;Paula;Blanco;p.blanco@gmail.com;606451949;Jefe
2191498X;Irene;Saez;saez.irene@gmail.com;616514984;Empleado
6478947D;Alberto;Diaz;alber.diaz@gmail.com;621498447;Empleado
9519817Z;Urtzi;Diez;diez.urtzi@gmail.com;608485127;Empleado
6947481L;Roberto;Carballero;c.roberto@gmail.com;610698984;Jefe
5649411X;Emilia;Gonzalez;emi.gonzalez@gmail.com;764984180;Empleado
3643646P;Marta;Perez;p.marta@gmail.com;604152487;Jefe
